passenger_id	survived	passenger_class	sex	age	sibling_count	parent_count	fare	cabin	embarked	age_group
82	1	3	male	29	0	0	9.5		S	16-30
83	1	3	female	-1	0	0	7.7875		Q	NaN
84	0	1	male	28	0	0	47.1		S	16-30
85	1	2	female	17	0	0	10.5		S	16-30
86	1	3	female	33	3	0	15.85		S	31-45
87	0	3	male	16	1	3	34.375		S	16-30
88	0	3	male	-1	0	0	8.05		S	NaN
89	1	1	female	23	3	2	263	C23 C25 C27	S	16-30
90	0	3	male	24	0	0	8.05		S	16-30
91	0	3	male	29	0	0	8.05		S	16-30
92	0	3	male	20	0	0	7.8542		S	16-30
93	0	1	male	46	1	0	61.175	E31	S	46-60
94	0	3	male	26	1	2	20.575		S	16-30
95	0	3	male	59	0	0	7.25		S	46-60
96	0	3	male	-1	0	0	8.05		S	NaN
97	0	1	male	71	0	0	34.6542	A5	C	60+
98	1	1	male	23	0	1	63.3583	D10 D12	C	16-30
99	1	2	female	34	0	1	23		S	31-45
100	0	2	male	34	1	0	26		S	31-45
101	0	3	female	28	0	0	7.8958		S	16-30
102	0	3	male	-1	0	0	7.8958		S	NaN
103	0	1	male	21	0	1	77.2875	D26	S	16-30
104	0	3	male	33	0	0	8.6542		S	31-45
105	0	3	male	37	2	0	7.925		S	31-45
106	0	3	male	28	0	0	7.8958		S	16-30
107	1	3	female	21	0	0	7.65		S	16-30
108	1	3	male	-1	0	0	7.775		S	NaN
109	0	3	male	38	0	0	7.8958		S	31-45
110	1	3	female	-1	1	0	24.15		Q	NaN
111	0	1	male	47	0	0	52	C110	S	46-60
112	0	3	female	14.5	1	0	14.4542		C	0-15
113	0	3	male	22	0	0	8.05		S	16-30
114	0	3	female	20	1	0	9.825		S	16-30
115	0	3	female	17	0	0	14.4583		C	16-30
116	0	3	male	21	0	0	7.925		S	16-30
117	0	3	male	70.5	0	0	7.75		Q	60+
118	0	2	male	29	1	0	21		S	16-30
119	0	1	male	24	0	1	247.5208	B58 B60	C	16-30
120	0	3	female	2	4	2	31.275		S	0-15
121	0	2	male	21	2	0	73.5		S	16-30
122	0	3	male	-1	0	0	8.05		S	NaN
123	0	2	male	32.5	1	0	30.0708		C	31-45
124	1	2	female	32.5	0	0	13	E101	S	31-45
125	0	1	male	54	0	1	77.2875	D26	S	46-60
126	1	3	male	12	1	0	11.2417		C	0-15
127	0	3	male	-1	0	0	7.75		Q	NaN
128	1	3	male	24	0	0	7.1417		S	16-30
129	1	3	female	-1	1	1	22.3583	F E69	C	NaN
130	0	3	male	45	0	0	6.975		S	31-45
131	0	3	male	33	0	0	7.8958		C	31-45
132	0	3	male	20	0	0	7.05		S	16-30
133	0	3	female	47	1	0	14.5		S	46-60
134	1	2	female	29	1	0	26		S	16-30
135	0	2	male	25	0	0	13		S	16-30
136	0	2	male	23	0	0	15.0458		C	16-30
137	1	1	female	19	0	2	26.2833	D47	S	16-30
138	0	1	male	37	1	0	53.1	C123	S	31-45
139	0	3	male	16	0	0	9.2167		S	16-30
140	0	1	male	24	0	0	79.2	B86	C	16-30
141	0	3	female	-1	0	2	15.2458		C	NaN
142	1	3	female	22	0	0	7.75		S	16-30
143	1	3	female	24	1	0	15.85		S	16-30
144	0	3	male	19	0	0	6.75		Q	16-30
145	0	2	male	18	0	0	11.5		S	16-30
146	0	2	male	19	1	1	36.75		S	16-30
147	1	3	male	27	0	0	7.7958		S	16-30
148	0	3	female	9	2	2	34.375		S	0-15
149	0	2	male	36.5	0	2	26	F2	S	31-45
150	0	2	male	42	0	0	13		S	31-45
151	0	2	male	51	0	0	12.525		S	46-60
152	1	1	female	22	1	0	66.6	C2	S	16-30
153	0	3	male	55.5	0	0	8.05		S	46-60
154	0	3	male	40.5	0	2	14.5		S	31-45
155	0	3	male	-1	0	0	7.3125		S	NaN
156	0	1	male	51	0	1	61.3792		C	46-60
157	1	3	female	16	0	0	7.7333		Q	16-30
158	0	3	male	30	0	0	8.05		S	16-30
159	0	3	male	-1	0	0	8.6625		S	NaN
160	0	3	male	-1	8	2	69.55		S	NaN
161	0	3	male	44	0	1	16.1		S	31-45
162	1	2	female	40	0	0	15.75		S	31-45
163	0	3	male	26	0	0	7.775		S	16-30
164	0	3	male	17	0	0	8.6625		S	16-30
165	0	3	male	1	4	1	39.6875		S	0-15
166	1	3	male	9	0	2	20.525		S	0-15
167	1	1	female	-1	0	1	55	E33	S	NaN
168	0	3	female	45	1	4	27.9		S	31-45
169	0	1	male	-1	0	0	25.925		S	NaN
170	0	3	male	28	0	0	56.4958		S	16-30
171	0	1	male	61	0	0	33.5	B19	S	60+
172	0	3	male	4	4	1	29.125		Q	0-15
173	1	3	female	1	1	1	11.1333		S	0-15
174	0	3	male	21	0	0	7.925		S	16-30
175	0	1	male	56	0	0	30.6958	A7	C	46-60
176	0	3	male	18	1	1	7.8542		S	16-30
177	0	3	male	-1	3	1	25.4667		S	NaN
178	0	1	female	50	0	0	28.7125	C49	C	46-60
179	0	2	male	30	0	0	13		S	16-30
180	0	3	male	36	0	0	0		S	31-45
181	0	3	female	-1	8	2	69.55		S	NaN
182	0	2	male	-1	0	0	15.05		C	NaN
183	0	3	male	9	4	2	31.3875		S	0-15
184	1	2	male	1	2	1	39	F4	S	0-15
185	1	3	female	4	0	2	22.025		S	0-15
186	0	1	male	-1	0	0	50	A32	S	NaN
187	1	3	female	-1	1	0	15.5		Q	NaN
188	1	1	male	45	0	0	26.55		S	31-45
189	0	3	male	40	1	1	15.5		Q	31-45
190	0	3	male	36	0	0	7.8958		S	31-45
191	1	2	female	32	0	0	13		S	31-45
192	0	2	male	19	0	0	13		S	16-30
193	1	3	female	19	1	0	7.8542		S	16-30
194	1	2	male	3	1	1	26	F2	S	0-15
195	1	1	female	44	0	0	27.7208	B4	C	31-45
196	1	1	female	58	0	0	146.5208	B80	C	46-60
197	0	3	male	-1	0	0	7.75		Q	NaN
198	0	3	male	42	0	1	8.4042		S	31-45
199	1	3	female	-1	0	0	7.75		Q	NaN
200	0	2	female	24	0	0	13		S	16-30
201	0	3	male	28	0	0	9.5		S	16-30
202	0	3	male	-1	8	2	69.55		S	NaN
203	0	3	male	34	0	0	6.4958		S	31-45
204	0	3	male	45.5	0	0	7.225		C	46-60
205	1	3	male	18	0	0	8.05		S	16-30
206	0	3	female	2	0	1	10.4625	G6	S	0-15
207	0	3	male	32	1	0	15.85		S	31-45
208	1	3	male	26	0	0	18.7875		C	16-30
209	1	3	female	16	0	0	7.75		Q	16-30
210	1	1	male	40	0	0	31	A31	C	31-45
211	0	3	male	24	0	0	7.05		S	16-30
212	1	2	female	35	0	0	21		S	31-45
213	0	3	male	22	0	0	7.25		S	16-30
214	0	2	male	30	0	0	13		S	16-30
215	0	3	male	-1	1	0	7.75		Q	NaN
216	1	1	female	31	1	0	113.275	D36	C	31-45
217	1	3	female	27	0	0	7.925		S	16-30
218	0	2	male	42	1	0	27		S	31-45
219	1	1	female	32	0	0	76.2917	D15	C	31-45
220	0	2	male	30	0	0	10.5		S	16-30
221	1	3	male	16	0	0	8.05		S	16-30
222	0	2	male	27	0	0	13		S	16-30
223	0	3	male	51	0	0	8.05		S	46-60
224	0	3	male	-1	0	0	7.8958		S	NaN
225	1	1	male	38	1	0	90	C93	S	31-45
226	0	3	male	22	0	0	9.35		S	16-30
227	1	2	male	19	0	0	10.5		S	16-30
228	0	3	male	20.5	0	0	7.25		S	16-30
229	0	2	male	18	0	0	13		S	16-30
230	0	3	female	-1	3	1	25.4667		S	NaN
231	1	1	female	35	1	0	83.475	C83	S	31-45
232	0	3	male	29	0	0	7.775		S	16-30
233	0	2	male	59	0	0	13.5		S	46-60
234	1	3	female	5	4	2	31.3875		S	0-15
235	0	2	male	24	0	0	10.5		S	16-30
236	0	3	female	-1	0	0	7.55		S	NaN
237	0	2	male	44	1	0	26		S	31-45
238	1	2	female	8	0	2	26.25		S	0-15
239	0	2	male	19	0	0	10.5		S	16-30
240	0	2	male	33	0	0	12.275		S	31-45
241	0	3	female	-1	1	0	14.4542		C	NaN
242	1	3	female	-1	1	0	15.5		Q	NaN
243	0	2	male	29	0	0	10.5		S	16-30
244	0	3	male	22	0	0	7.125		S	16-30
245	0	3	male	30	0	0	7.225		C	16-30
246	0	1	male	44	2	0	90	C78	Q	31-45
247	0	3	female	25	0	0	7.775		S	16-30
248	1	2	female	24	0	2	14.5		S	16-30
249	1	1	male	37	1	1	52.5542	D35	S	31-45
250	0	2	male	54	1	0	26		S	46-60
251	0	3	male	-1	0	0	7.25		S	NaN
252	0	3	female	29	1	1	10.4625	G6	S	16-30
253	0	1	male	62	0	0	26.55	C87	S	60+
254	0	3	male	30	1	0	16.1		S	16-30
255	0	3	female	41	0	2	20.2125		S	31-45
256	1	3	female	29	0	2	15.2458		C	16-30
257	1	1	female	-1	0	0	79.2		C	NaN
258	1	1	female	30	0	0	86.5	B77	S	16-30
259	1	1	female	35	0	0	512.3292		C	31-45
260	1	2	female	50	0	1	26		S	46-60
261	0	3	male	-1	0	0	7.75		Q	NaN
262	1	3	male	3	4	2	31.3875		S	0-15
263	0	1	male	52	1	1	79.65	E67	S	46-60
264	0	1	male	40	0	0	0	B94	S	31-45
265	0	3	female	-1	0	0	7.75		Q	NaN
266	0	2	male	36	0	0	10.5		S	31-45
267	0	3	male	16	4	1	39.6875		S	16-30
268	1	3	male	25	1	0	7.775		S	16-30
269	1	1	female	58	0	1	153.4625	C125	S	46-60
270	1	1	female	35	0	0	135.6333	C99	S	31-45
271	0	1	male	-1	0	0	31		S	NaN
272	1	3	male	25	0	0	0		S	16-30
273	1	2	female	41	0	1	19.5		S	31-45
274	0	1	male	37	0	1	29.7	C118	C	31-45
275	1	3	female	-1	0	0	7.75		Q	NaN
276	1	1	female	63	1	0	77.9583	D7	S	60+
277	0	3	female	45	0	0	7.75		S	31-45
278	0	2	male	-1	0	0	0		S	NaN
279	0	3	male	7	4	1	29.125		Q	0-15
280	1	3	female	35	1	1	20.25		S	31-45
281	0	3	male	65	0	0	7.75		Q	60+
282	0	3	male	28	0	0	7.8542		S	16-30
283	0	3	male	16	0	0	9.5		S	16-30
284	1	3	male	19	0	0	8.05		S	16-30
285	0	1	male	-1	0	0	26	A19	S	NaN
286	0	3	male	33	0	0	8.6625		C	31-45
287	1	3	male	30	0	0	9.5		S	16-30
288	0	3	male	22	0	0	7.8958		S	16-30
289	1	2	male	42	0	0	13		S	31-45
290	1	3	female	22	0	0	7.75		Q	16-30
291	1	1	female	26	0	0	78.85		S	16-30
292	1	1	female	19	1	0	91.0792	B49	C	16-30
293	0	2	male	36	0	0	12.875	D	C	31-45
294	0	3	female	24	0	0	8.85		S	16-30
295	0	3	male	24	0	0	7.8958		S	16-30
296	0	1	male	-1	0	0	27.7208		C	NaN
297	0	3	male	23.5	0	0	7.2292		C	16-30
298	0	1	female	2	1	2	151.55	C22 C26	S	0-15
299	1	1	male	-1	0	0	30.5	C106	S	NaN
300	1	1	female	50	0	1	247.5208	B58 B60	C	46-60
301	1	3	female	-1	0	0	7.75		Q	NaN
302	1	3	male	-1	2	0	23.25		Q	NaN
303	0	3	male	19	0	0	0		S	16-30
304	1	2	female	-1	0	0	12.35	E101	Q	NaN
305	0	3	male	-1	0	0	8.05		S	NaN
306	1	1	male	0.92	1	2	151.55	C22 C26	S	0-15
307	1	1	female	-1	0	0	110.8833		C	NaN
308	1	1	female	17	1	0	108.9	C65	C	16-30
309	0	2	male	30	1	0	24		C	16-30
310	1	1	female	30	0	0	56.9292	E36	C	16-30
311	1	1	female	24	0	0	83.1583	C54	C	16-30
312	1	1	female	18	2	2	262.375	B57 B59 B63 B66	C	16-30
313	0	2	female	26	1	1	26		S	16-30
314	0	3	male	28	0	0	7.8958		S	16-30
315	0	2	male	43	1	1	26.25		S	31-45
316	1	3	female	26	0	0	7.8542		S	16-30
317	1	2	female	24	1	0	26		S	16-30
318	0	2	male	54	0	0	14		S	46-60
319	1	1	female	31	0	2	164.8667	C7	S	31-45
320	1	1	female	40	1	1	134.5	E34	C	31-45
321	0	3	male	22	0	0	7.25		S	16-30
322	0	3	male	27	0	0	7.8958		S	16-30
323	1	2	female	30	0	0	12.35		Q	16-30
324	1	2	female	22	1	1	29		S	16-30
325	0	3	male	-1	8	2	69.55		S	NaN
326	1	1	female	36	0	0	135.6333	C32	C	31-45
327	0	3	male	61	0	0	6.2375		S	60+
328	1	2	female	36	0	0	13	D	S	31-45
329	1	3	female	31	1	1	20.525		S	31-45
330	1	1	female	16	0	1	57.9792	B18	C	16-30
331	1	3	female	-1	2	0	23.25		Q	NaN
332	0	1	male	45.5	0	0	28.5	C124	S	46-60
333	0	1	male	38	0	1	153.4625	C91	S	31-45
334	0	3	male	16	2	0	18		S	16-30
335	1	1	female	-1	1	0	133.65		S	NaN
336	0	3	male	-1	0	0	7.8958		S	NaN
337	0	1	male	29	1	0	66.6	C2	S	16-30
338	1	1	female	41	0	0	134.5	E40	C	31-45
339	1	3	male	45	0	0	8.05		S	31-45
340	0	1	male	45	0	0	35.5	T	S	31-45
341	1	2	male	2	1	1	26	F2	S	0-15
342	1	1	female	24	3	2	263	C23 C25 C27	S	16-30
343	0	2	male	28	0	0	13		S	16-30
344	0	2	male	25	0	0	13		S	16-30
345	0	2	male	36	0	0	13		S	31-45
346	1	2	female	24	0	0	13	F33	S	16-30
347	1	2	female	40	0	0	13		S	31-45
348	1	3	female	-1	1	0	16.1		S	NaN
349	1	3	male	3	1	1	15.9		S	0-15
350	0	3	male	42	0	0	8.6625		S	31-45
351	0	3	male	23	0	0	9.225		S	16-30
352	0	1	male	-1	0	0	35	C128	S	NaN
353	0	3	male	15	1	1	7.2292		C	0-15
354	0	3	male	25	1	0	17.8		S	16-30
355	0	3	male	-1	0	0	7.225		C	NaN
356	0	3	male	28	0	0	9.5		S	16-30
357	1	1	female	22	0	1	55	E33	S	16-30
358	0	2	female	38	0	0	13		S	31-45
359	1	3	female	-1	0	0	7.8792		Q	NaN
360	1	3	female	-1	0	0	7.8792		Q	NaN
361	0	3	male	40	1	4	27.9		S	31-45
362	0	2	male	29	1	0	27.7208		C	16-30
363	0	3	female	45	0	1	14.4542		C	31-45
364	0	3	male	35	0	0	7.05		S	31-45
365	0	3	male	-1	1	0	15.5		Q	NaN
366	0	3	male	30	0	0	7.25		S	16-30
367	1	1	female	60	1	0	75.25	D37	C	46-60
368	1	3	female	-1	0	0	7.2292		C	NaN
369	1	3	female	-1	0	0	7.75		Q	NaN
370	1	1	female	24	0	0	69.3	B35	C	16-30
371	1	1	male	25	1	0	55.4417	E50	C	16-30
372	0	3	male	18	1	0	6.4958		S	16-30
373	0	3	male	19	0	0	8.05		S	16-30
374	0	1	male	22	0	0	135.6333		C	16-30
375	0	3	female	3	3	1	21.075		S	0-15
376	1	1	female	-1	1	0	82.1708		C	NaN
377	1	3	female	22	0	0	7.25		S	16-30
378	0	1	male	27	0	2	211.5	C82	C	16-30
379	0	3	male	20	0	0	4.0125		C	16-30
380	0	3	male	19	0	0	7.775		S	16-30
381	1	1	female	42	0	0	227.525		C	31-45
382	1	3	female	1	0	2	15.7417		C	0-15
383	0	3	male	32	0	0	7.925		S	31-45
384	1	1	female	35	1	0	52		S	31-45
385	0	3	male	-1	0	0	7.8958		S	NaN
386	0	2	male	18	0	0	73.5		S	16-30
387	0	3	male	1	5	2	46.9		S	0-15
388	1	2	female	36	0	0	13		S	31-45
389	0	3	male	-1	0	0	7.7292		Q	NaN
390	1	2	female	17	0	0	12		C	16-30
391	1	1	male	36	1	2	120	B96 B98	S	31-45
392	1	3	male	21	0	0	7.7958		S	16-30
393	0	3	male	28	2	0	7.925		S	16-30
394	1	1	female	23	1	0	113.275	D36	C	16-30
395	1	3	female	24	0	2	16.7	G6	S	16-30
396	0	3	male	22	0	0	7.7958		S	16-30
397	0	3	female	31	0	0	7.8542		S	31-45
398	0	2	male	46	0	0	26		S	46-60
399	0	2	male	23	0	0	10.5		S	16-30
400	1	2	female	28	0	0	12.65		S	16-30
401	1	3	male	39	0	0	7.925		S	31-45
402	0	3	male	26	0	0	8.05		S	16-30
403	0	3	female	21	1	0	9.825		S	16-30
404	0	3	male	28	1	0	15.85		S	16-30
405	0	3	female	20	0	0	8.6625		S	16-30
406	0	2	male	34	1	0	21		S	31-45
407	0	3	male	51	0	0	7.75		S	46-60
408	1	2	male	3	1	1	18.75		S	0-15
409	0	3	male	21	0	0	7.775		S	16-30
410	0	3	female	-1	3	1	25.4667		S	NaN
411	0	3	male	-1	0	0	7.8958		S	NaN
412	0	3	male	-1	0	0	6.8583		Q	NaN
413	1	1	female	33	1	0	90	C78	Q	31-45
414	0	2	male	-1	0	0	0		S	NaN
415	1	3	male	44	0	0	7.925		S	31-45
416	0	3	female	-1	0	0	8.05		S	NaN
417	1	2	female	34	1	1	32.5		S	31-45
418	1	2	female	18	0	2	13		S	16-30
419	0	2	male	30	0	0	13		S	16-30
420	0	3	female	10	0	2	24.15		S	0-15
421	0	3	male	-1	0	0	7.8958		C	NaN
422	0	3	male	21	0	0	7.7333		Q	16-30
423	0	3	male	29	0	0	7.875		S	16-30
424	0	3	female	28	1	1	14.4		S	16-30
425	0	3	male	18	1	1	20.2125		S	16-30
426	0	3	male	-1	0	0	7.25		S	NaN
427	1	2	female	28	1	0	26		S	16-30
428	1	2	female	19	0	0	26		S	16-30
429	0	3	male	-1	0	0	7.75		Q	NaN
430	1	3	male	32	0	0	8.05	E10	S	31-45
431	1	1	male	28	0	0	26.55	C52	S	16-30
432	1	3	female	-1	1	0	16.1		S	NaN
433	1	2	female	42	1	0	26		S	31-45
434	0	3	male	17	0	0	7.125		S	16-30
435	0	1	male	50	1	0	55.9	E44	S	46-60
436	1	1	female	14	1	2	120	B96 B98	S	0-15
437	0	3	female	21	2	2	34.375		S	16-30
438	1	2	female	24	2	3	18.75		S	16-30
439	0	1	male	64	1	4	263	C23 C25 C27	S	60+
440	0	2	male	31	0	0	10.5		S	31-45
441	1	2	female	45	1	1	26.25		S	31-45
442	0	3	male	20	0	0	9.5		S	16-30
443	0	3	male	25	1	0	7.775		S	16-30
444	1	2	female	28	0	0	13		S	16-30
445	1	3	male	-1	0	0	8.1125		S	NaN
446	1	1	male	4	0	2	81.8583	A34	S	0-15
447	1	2	female	13	0	1	19.5		S	0-15
448	1	1	male	34	0	0	26.55		S	31-45
449	1	3	female	5	2	1	19.2583		C	0-15
450	1	1	male	52	0	0	30.5	C104	S	46-60
451	0	2	male	36	1	2	27.75		S	31-45
452	0	3	male	-1	1	0	19.9667		S	NaN
453	0	1	male	30	0	0	27.75	C111	C	16-30
454	1	1	male	49	1	0	89.1042	C92	C	46-60
455	0	3	male	-1	0	0	8.05		S	NaN
456	1	3	male	29	0	0	7.8958		C	16-30
457	0	1	male	65	0	0	26.55	E38	S	60+
458	1	1	female	-1	1	0	51.8625	D21	S	NaN
459	1	2	female	50	0	0	10.5		S	46-60
460	0	3	male	-1	0	0	7.75		Q	NaN
461	1	1	male	48	0	0	26.55	E12	S	46-60
462	0	3	male	34	0	0	8.05		S	31-45
463	0	1	male	47	0	0	38.5	E63	S	46-60
464	0	2	male	48	0	0	13		S	46-60
465	0	3	male	-1	0	0	8.05		S	NaN
466	0	3	male	38	0	0	7.05		S	31-45
467	0	2	male	-1	0	0	0		S	NaN
468	0	1	male	56	0	0	26.55		S	46-60
469	0	3	male	-1	0	0	7.725		Q	NaN
470	1	3	female	0.75	2	1	19.2583		C	0-15
471	0	3	male	-1	0	0	7.25		S	NaN
472	0	3	male	38	0	0	8.6625		S	31-45
473	1	2	female	33	1	2	27.75		S	31-45
474	1	2	female	23	0	0	13.7917	D	C	16-30
475	0	3	female	22	0	0	9.8375		S	16-30
476	0	1	male	-1	0	0	52	A14	S	NaN
477	0	2	male	34	1	0	21		S	31-45
478	0	3	male	29	1	0	7.0458		S	16-30
479	0	3	male	22	0	0	7.5208		S	16-30
480	1	3	female	2	0	1	12.2875		S	0-15
481	0	3	male	9	5	2	46.9		S	0-15
482	0	2	male	-1	0	0	0		S	NaN
483	0	3	male	50	0	0	8.05		S	46-60
484	1	3	female	63	0	0	9.5875		S	60+
485	1	1	male	25	1	0	91.0792	B49	C	16-30
486	0	3	female	-1	3	1	25.4667		S	NaN
487	1	1	female	35	1	0	90	C93	S	31-45
488	0	1	male	58	0	0	29.7	B37	C	46-60
489	0	3	male	30	0	0	8.05		S	16-30
490	1	3	male	9	1	1	15.9		S	0-15
491	0	3	male	-1	1	0	19.9667		S	NaN
492	0	3	male	21	0	0	7.25		S	16-30
493	0	1	male	55	0	0	30.5	C30	S	46-60
494	0	1	male	71	0	0	49.5042		C	60+
495	0	3	male	21	0	0	8.05		S	16-30
496	0	3	male	-1	0	0	14.4583		C	NaN
497	1	1	female	54	1	0	78.2667	D20	C	46-60
498	0	3	male	-1	0	0	15.1		S	NaN
499	0	1	female	25	1	2	151.55	C22 C26	S	16-30
500	0	3	male	24	0	0	7.7958		S	16-30
501	0	3	male	17	0	0	8.6625		S	16-30
502	0	3	female	21	0	0	7.75		Q	16-30
503	0	3	female	-1	0	0	7.6292		Q	NaN
504	0	3	female	37	0	0	9.5875		S	31-45
505	1	1	female	16	0	0	86.5	B79	S	16-30
506	0	1	male	18	1	0	108.9	C65	C	16-30
507	1	2	female	33	0	2	26		S	31-45
508	1	1	male	-1	0	0	26.55		S	NaN
509	0	3	male	28	0	0	22.525		S	16-30
510	1	3	male	26	0	0	56.4958		S	16-30
511	1	3	male	29	0	0	7.75		Q	16-30
512	0	3	male	-1	0	0	8.05		S	NaN
513	1	1	male	36	0	0	26.2875	E25	S	31-45
514	1	1	female	54	1	0	59.4		C	46-60
515	0	3	male	24	0	0	7.4958		S	16-30
516	0	1	male	47	0	0	34.0208	D46	S	46-60
517	1	2	female	34	0	0	10.5	F33	S	31-45
518	0	3	male	-1	0	0	24.15		Q	NaN
519	1	2	female	36	1	0	26		S	31-45
520	0	3	male	32	0	0	7.8958		S	31-45
521	1	1	female	30	0	0	93.5	B73	S	16-30
522	0	3	male	22	0	0	7.8958		S	16-30
523	0	3	male	-1	0	0	7.225		C	NaN
524	1	1	female	44	0	1	57.9792	B18	C	31-45
525	0	3	male	-1	0	0	7.2292		C	NaN
526	0	3	male	40.5	0	0	7.75		Q	31-45
527	1	2	female	50	0	0	10.5		S	46-60
528	0	1	male	-1	0	0	221.7792	C95	S	NaN
529	0	3	male	39	0	0	7.925		S	31-45
530	0	2	male	23	2	1	11.5		S	16-30
531	1	2	female	2	1	1	26		S	0-15
532	0	3	male	-1	0	0	7.2292		C	NaN
533	0	3	male	17	1	1	7.2292		C	16-30
534	1	3	female	-1	0	2	22.3583		C	NaN
535	0	3	female	30	0	0	8.6625		S	16-30
536	1	2	female	7	0	2	26.25		S	0-15
537	0	1	male	45	0	0	26.55	B38	S	31-45
538	1	1	female	30	0	0	106.425		C	16-30
539	0	3	male	-1	0	0	14.5		S	NaN
540	1	1	female	22	0	2	49.5	B39	C	16-30
541	1	1	female	36	0	2	71	B22	S	31-45
542	0	3	female	9	4	2	31.275		S	0-15
543	0	3	female	11	4	2	31.275		S	0-15
544	1	2	male	32	1	0	26		S	31-45
545	0	1	male	50	1	0	106.425	C86	C	46-60
546	0	1	male	64	0	0	26		S	60+
547	1	2	female	19	1	0	26		S	16-30
548	1	2	male	-1	0	0	13.8625		C	NaN
549	0	3	male	33	1	1	20.525		S	31-45
550	1	2	male	8	1	1	36.75		S	0-15
551	1	1	male	17	0	2	110.8833	C70	C	16-30
552	0	2	male	27	0	0	26		S	16-30
553	0	3	male	-1	0	0	7.8292		Q	NaN
554	1	3	male	22	0	0	7.225		C	16-30
